,20091231,20100129,20100226,20100331,20100430,20100531,20100630,20100730,20100831,20100930,20101029,20101130,20101231,20110131,20110228,20110331,20110429,20110531,20110630,20110729,20110831,20110930,20111031,20111130,20111230,20120131,20120229,20120330,20120427,20120531,20120629,20120731,20120831,20120928,20121031,20121130,20121231,20130131,20130228,20130329,20130426,20130531,20130628,20130731,20130830,20130930,20131031,20131129,20131231,20140130,20140228,20140331,20140430,20140530,20140630,20140731,20140829,20140930,20141031,20141128,20141231,20150130,20150227,20150331,20150430,20150529,20150630,20150731,20150831,20150930,20151030,20151130,20151231,20160129,20160229,20160331,20160429,20160531,20160630,20160729,20160831,20160930,20161031,20161130,20161230,20170126,20170228,20170331,20170428,20170531,20170630,20170731,20170831,20170929,20171031,20171130,20171229,20180131,20180228,20180330,20180427,20180531,20180629,20180731,20180831,20180928,20181031,20181130,20181228,20190131_x,20190228_x,20190329_x,20190430_x,20190531_x,20190628_x,20190731_x,20190830_x,20190930_x,20191031_x,20191129_x,20191231_x,20200123_x,20200228_x,20200331_x,20200430_x,20190131_y,20190228_y,20190329_y,20190430_y,20190531_y,20190628_y,20190731_y,20190830_y,20190930_y,20191031_y,20191129_y,20191231_y,20200123_y,20200228_y,20200331_y,20200430_y,20200508
000001.SZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000002.SZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,946064361.3,946064361.3,946064361.3,946064361.3,946064361.3,429777726.9,429777726.9,429777726.9,429777726.9,429777726.9,429777726.9,429777726.9,1066676029.0,,,,,,,,,,,,,,,,,
000004.SZ,,,,,,,,,,,,,,,,,,5767031.08,5767031.08,5767031.08,5767031.08,5767031.08,1801542.37,1801542.37,1801542.37,1801542.37,1801542.37,1801542.37,2952345.13,2952345.13,2952345.13,2952345.13,2952345.13,1242950.33,1242950.33,1242950.33,1242950.33,1242950.33,1242950.33,1242950.33,1242950.33,2460888.19,2460888.19,2460888.19,2460888.19,898788.21,898788.21,898788.21,898788.21,898788.21,898788.21,898788.21,1936084.84,1936084.84,1936084.84,1936084.84,1936084.84,7930924.51,7930924.51,7930924.51,7930924.51,7930924.51,7930924.51,7930924.51,2439346.8,2439346.8,2439346.8,2439346.8,2439346.8,1857933.51,1857933.51,1857933.51,1857933.51,1857933.51,1857933.51,1857933.51,4265023.32,4265023.32,4265023.32,4265023.32,4265023.32,4265023.32,1156414.11,1156414.11,1156414.11,1156414.11,1156414.11,1156414.11,9244396.41,9244396.41,9244396.41,9244396.41,9244396.41,2841738.83,2841738.83,2841738.83,2841738.83,2841738.83,2841738.83,2841738.83,5153966.37,5153966.37,5153966.37,5153966.37,5153966.37,5924495.87,5924495.87,5924495.87,5924495.87,5924495.87,5924495.87,5924495.87,17465777.11,17465777.11,17465777.11,17465777.11,17465777.11,3247956.23,3247956.23,3247956.23,3247956.23,3247956.23,3247956.23,3247956.23,1017599.91,,,,,,,,,,,,,,,,,
000005.SZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2405292.76,2405292.76,2405292.76,2405292.76,2405292.76,2405292.76,6596709.02,6596709.02,6596709.02,6596709.02,6596709.02,6596709.02,16811438.31,16811438.31,16811438.31,16811438.31,16811438.31,5075083.71,5075083.71,5075083.71,5075083.71,5075083.71,5075083.71,5075083.71,15058328.93,15058328.93,15058328.93,15058328.93,15058328.93,7362026.12,7362026.12,7362026.12,7362026.12,7362026.12,7362026.12,7362026.12,16128027.52,16128027.52,16128027.52,16128027.52,16128027.52,10401860.88,10401860.88,10401860.88,10401860.88,10401860.88,10401860.88,10401860.88,22311212.49,,,,,,,,,,,,,,,,,
000006.SZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000007.SZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6306978.35,6306978.35,6306978.35,6306978.35,6306978.35,,,,,,,,3285111.77,3285111.77,3285111.77,3285111.77,3285111.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000008.SZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29300605.4,29300605.4,29300605.4,29300605.4,29300605.4,29300605.4,29300605.4,93792298.55,93792298.55,93792298.55,93792298.55,93792298.55,93792298.55,60943099.18,60943099.18,60943099.18,60943099.18,60943099.18,60943099.18,136767328.2,136767328.2,136767328.2,136767328.2,136767328.2,51530390.46,51530390.46,51530390.46,51530390.46,51530390.46,51530390.46,51530390.46,205539922.0,205539922.0,205539922.0,205539922.0,205539922.0,76667107.72,76667107.72,76667107.72,76667107.72,76667107.72,76667107.72,76667107.72,243008208.7,243008208.7,243008208.7,243008208.7,243008208.7,99307883.7,99307883.7,99307883.7,99307883.7,99307883.7,99307883.7,99307883.7,270150611.6,,,,,,,,,,,,,,,,,
000009.SZ,,,,,,,,,,,,,,,,,,8510171.13,8510171.13,8510171.13,8510171.13,8510171.13,,,,,,,26480693.5,26480693.5,26480693.5,26480693.5,26480693.5,4542046.64,4542046.64,4542046.64,4542046.64,4542046.64,4542046.64,4542046.64,4542046.64,51827400.0,51827400.0,51827400.0,51827400.0,22897106.82,22897106.82,22897106.82,22897106.82,22897106.82,22897106.82,22897106.82,69406300.0,69406300.0,69406300.0,69406300.0,69406300.0,38006931.63,38006931.63,38006931.63,38006931.63,38006931.63,38006931.63,38006931.63,117812428.0,117812428.0,117812428.0,117812428.0,117812428.0,54019158.01,54019158.01,54019158.01,54019158.01,54019158.01,54019158.01,54019158.01,160696501.8,160696501.8,160696501.8,160696501.8,160696501.8,160696501.8,71400845.46,71400845.46,71400845.46,71400845.46,71400845.46,71400845.46,222033802.6,222033802.6,222033802.6,222033802.6,222033802.6,124492365.6,124492365.6,124492365.6,124492365.6,124492365.6,124492365.6,124492365.6,274922931.5,274922931.5,274922931.5,274922931.5,274922931.5,158498313.8,158498313.8,158498313.8,158498313.8,158498313.8,158498313.8,158498313.8,376191746.3,376191746.3,376191746.3,376191746.3,376191746.3,181589949.5,181589949.5,181589949.5,181589949.5,181589949.5,181589949.5,181589949.5,409051700.7,,,,,,,,,,,,,,,,,
000010.SZ,,,,,,,,,,,,,,,,,,1519214.21,1519214.21,1519214.21,1519214.21,1519214.21,169888.21,169888.21,169888.21,169888.21,169888.21,169888.21,,,,,,,,,,,,,,6332700.0,6332700.0,6332700.0,6332700.0,1858700.0,1858700.0,1858700.0,1858700.0,1858700.0,1858700.0,1858700.0,4356200.0,4356200.0,4356200.0,4356200.0,4356200.0,10395.0,10395.0,10395.0,10395.0,10395.0,10395.0,10395.0,,,,,,2250.0,2250.0,2250.0,2250.0,2250.0,2250.0,2250.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2055715.97,2055715.97,2055715.97,2055715.97,2055715.97,736334.86,736334.86,736334.86,736334.86,736334.86,736334.86,736334.86,1690182.58,,,,,,,,,,,,,,,,,
