stockid,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
002172.SZ,,43266,,,42200,,,,40548,,,
002173.SZ,,,,42405,,,,,,,,
002174.SZ,,,43084,,42362,41773,,,,,,
002175.SZ,,,,42473,,41827,41421,,,,,
002176.SZ,,43453,,42452,42319,41836,,,40743,,,
002177.SZ,,,,,,,,,,,40115,
002178.SZ,,,,,42257,,41506,,,,,
002179.SZ,,,,,,,41380,,,,,
002180.SZ,,,43089,,42296,41908,,,,,,
002181.SZ,,,,,,41821,,41078,,,,
002182.SZ,,,,42459,,,,,,,,
002183.SZ,,,,,42138,,41388,,,,,
002184.SZ,,,,42509,,,,,,,,
002185.SZ,,,,,42333,,,,40850,,,
002186.SZ,,,,,,41834,,,,,,
002187.SZ,,,,,,,,,40612,40189,,
002188.SZ,,,,,42332,,,,,,,
002189.SZ,43565,,,,,,,,,,,
002190.SZ,,43130,,,,,,,40736,,,
002191.SZ,,,43041,,,,,,,,,
002192.SZ,,,,,42153,,41341,,,,,
002193.SZ,,,,42594,,,,,,,,
002194.SZ,,,,42641,,,,,,,,
002195.SZ,,,,42402,,41908,,,,,,
002196.SZ,43517,,,,42366,41907,41501,,,,,
002197.SZ,,,,42625,,,41582,,,,,
002198.SZ,,,,,,,41618,,,,,
002199.SZ,,,,,,41869,,,40560,,,
002200.SZ,,,,,,41806,,,,,,
002201.SZ,,,,,42206,,,,,,,
002202.SZ,,,,,42233,,,,,,,
002203.SZ,,43411,,,42181,,,,,,,
002204.SZ,,,,,,,,,40903,,,
002205.SZ,,,,,,,,,40553,,,
002206.SZ,,,,42566,,,,,40632,,,
002207.SZ,,,,,,41647,,,,,,
002208.SZ,,,,,,,,,,,,
002209.SZ,,,,,,,,,,,40156,
002210.SZ,,,,,42195,,,,,,,
002211.SZ,,,,,,,,,,40519,,
002212.SZ,,,42786,,,,,,,40462,,
002213.SZ,,,,,,,,,,,,
002214.SZ,,,,,,41724,,,,,,
002215.SZ,,,,,,,,,,40254,,
002216.SZ,,,,,,,,,40794,,,
002217.SZ,,,42745,,42325,41829,,,,,,
002218.SZ,,,,,42102,,,,40617,,,
002219.SZ,,,,,42160,,,,,,,
002220.SZ,,,,42404,,,,,40746,,,
002221.SZ,,,,42663,,41816,,41247,,,,
002222.SZ,,,,,,,,,,,,
002223.SZ,,,,42543,,,,,,40354,,
002224.SZ,,,,,,,41311,,,,,
002225.SZ,43669,,,,42090,42003,41579,,,40387,,
002226.SZ,,43166,,42662,,,,,40715,,,
002227.SZ,,,,,,,,,,,,
002228.SZ,,,43056,,42121,,,,,40367,,
002229.SZ,,,,42615,,,,,40739,,,
002230.SZ,43663,,42810,42711,42235,,41387,,40672,,,
002231.SZ,,,,,,,,,40905,,,
002232.SZ,,,,,,,,,,,,
002233.SZ,,,43034,,,,,,,,,
002234.SZ,,,,,,,,,40861,,,
002235.SZ,,,,42690,,,,,,,,
002236.SZ,,,,,,,41423,,,,,
002237.SZ,,,,,,,,,40780,,,
002238.SZ,,,,,,41943,,,,,,
002239.SZ,,,,42689,42140,,,,,,,
002240.SZ,43804,,43053,,,,,,,,,
002241.SZ,,,,,,,,41010,,40471,,
002242.SZ,,,,,,,,,,,,
002243.SZ,43816,,,,,,41396,,,,,
002244.SZ,,,,42459,,,,,,,,
002245.SZ,,,,,,41732,,,,,,
002246.SZ,,43131,43049,,,,41439,,,,,
002247.SZ,,,,42552,,,41362,,,,,
002248.SZ,,,,,,41698,,,,40283,,
002249.SZ,,,,42404,,41893,,,40732,,,
002250.SZ,,,42752,,,,,,40640,,,
002251.SZ,,,,42711,42040,,41360,,,,,
002252.SZ,,,,,42123,41997,,,,,,
002253.SZ,,,,,42346,,,,40850,,,
002254.SZ,,,,,,,,,,,,
002255.SZ,,43229,43097,,42307,,,,,,40086,
002256.SZ,,,,42517,,,,,,,,
002258.SZ,,,,,,,,,,,,
002259.SZ,,,,42528,,,,,40555,,,
002260.SZ,,,,,,,,,,,,
002261.SZ,,,,,42362,,,,,,,
002262.SZ,,,,,42185,,,,,,,
002263.SZ,,,,,42118,,,,40803,40331,,
002264.SZ,,,,42447,,,,,40904,,,
002265.SZ,,,42787,,,,,,,,,
002266.SZ,,,,,,41866,41401,,,,,
002267.SZ,,,,,,41928,,,,,,
002268.SZ,,,42816,,,41981,,,,,,
002269.SZ,,,,,,,,,,,,
002270.SZ,,,,42387,42363,,,,,,,
002271.SZ,,,,,,41869,,,40567,,,
002272.SZ,,,,,,,,41009,,40212,,
002273.SZ,,,,,42220,41828,,,40899,,,
002274.SZ,,,,,42243,,41485,,,,,
002275.SZ,,,,,,,,,,,,
002276.SZ,,,42926,,,,,41218,40833,,,
002277.SZ,,,,42538,,,,,,,,
002278.SZ,,,,,,,,,,,,
002279.SZ,,,,,42348,,,,,,,
002280.SZ,,,,42402,42013,41989,,,,,,
002281.SZ,43579,,,,,41926,41541,,,,,
002282.SZ,,43137,43087,,,,,,,,,
002283.SZ,,,,,,,,,40766,,,
002284.SZ,,,,,,41963,,,,,,
002285.SZ,,,,,42152,,,,,,,
002286.SZ,,,,,,,41380,,,,,
002287.SZ,,,,,,,,,,,,
002288.SZ,,,,,42121,,,41046,,,,
002289.SZ,,,,,,41953,41396,,,,,
002290.SZ,,,,42657,,,,,,,,
002291.SZ,43579,,,,42188,,,,,,,
002292.SZ,,43116,,42457,,41925,,,,,,
002293.SZ,,43137,,,,,,,,,,
002294.SZ,,,,,,,,,,,,
002295.SZ,,,,,42137,,,,,,,
002296.SZ,,,,,,,41606,,,,,
002297.SZ,,,,42495,,41656,,,,,,
002298.SZ,,,,42654,42243,,,41108,,,,
002299.SZ,,,43042,,42139,,,,40696,,,
002300.SZ,,,,,,,,,,,,
002301.SZ,43759,,42793,,,,,,,,,
002302.SZ,,,43094,,,41652,41367,,,,,
002303.SZ,,,,42685,,,,,,,,
002304.SZ,,,,,,,,,,,,
002305.SZ,,,,42555,,,,,,,,
002306.SZ,,,,,,,,,,,,
002307.SZ,,,43069,,,,,,40731,,,
002308.SZ,,,43035,,,,,,,,,
002309.SZ,,43119,,42579,,41731,,,,,,
002310.SZ,,,,42684,,,41624,,,,,
002311.SZ,,,,,,,41613,,,,,
002312.SZ,,,,,42324,,,,,,,
002313.SZ,,,,,,,,41107,,,,
002314.SZ,,,,,42215,,,,,,,
002315.SZ,,,,,,,,,,,,
002316.SZ,,,,,,,,,,,,
002317.SZ,,,,42632,,,,,,,,
002318.SZ,,,,,,,,,,,,
002319.SZ,,,,,,,,,,,,
002320.SZ,,,42823,,,,,,,,,
002321.SZ,,,,42389,,,41459,,,,,
002322.SZ,,,,,42298,,,,,,,
002323.SZ,,,,,42220,,,,,,,
002324.SZ,,,43077,,,,,,,,,
002325.SZ,,,,,,41907,,,,,,
002326.SZ,,,42754,,,41955,,,,,,
002327.SZ,,,,,,,,,,,,
002328.SZ,,,,,,,,,,,,
002329.SZ,,,,,42304,41969,,,,,,
002330.SZ,,,,,,,,,,,,
002331.SZ,,43437,,,,41911,,,40833,,,
002332.SZ,,,,,42319,,,,,,,
002333.SZ,,,,,,,,,,,,
002334.SZ,,,,,,,,,,,,
002335.SZ,,,,42494,,,,,,,,
002336.SZ,,,,,,,,,,,,
002337.SZ,,,,,,,,,,,,
002338.SZ,,,,,,,,,,,,
002339.SZ,,,43005,,,,41351,,,,,
002340.SZ,,43355,,,42325,41787,,,40878,,,
002341.SZ,,43276,,42726,,,41358,,,,,
002342.SZ,,,,,,,,,,,,
002343.SZ,,,43083,,42261,,,,,,,
002344.SZ,,,,42726,,,,,,,,
002345.SZ,,,42935,,,,41528,,,,,
002346.SZ,,,,,,42002,,,,,,
002347.SZ,,,,,,,,,,,,
002348.SZ,,,,,,,,,,,,
002349.SZ,,,,,42340,,,,,,,
002350.SZ,,,,,,,,,,,,
002351.SZ,,,,,,,,,,,,
002352.SZ,,,42969,,,,,,,,,
002353.SZ,,,,,,41684,,,,,,
002354.SZ,,,43077,,42346,41898,,,,,,
002355.SZ,,43213,,,,,,41019,,,,
002356.SZ,,,,,,41901,,,,,,
002357.SZ,,,,,,,,,,,,
002358.SZ,,,,42601,,,41522,,,,,
002359.SZ,,,42849,,,,41360,,,,,
002360.SZ,,,,,,41701,,,,,,
002361.SZ,,,,,42347,41995,,,,,,
002362.SZ,,,,,,,,,,,,
002363.SZ,,,43068,,,,41404,,,,,
002364.SZ,,,,42627,,,,41228,,,,
002365.SZ,,,,,,,,,,,,
002366.SZ,,,,,42236,,,,,,,
002367.SZ,,,,42600,,,,,,,,
002368.SZ,,,,,,,41633,,,,,
002369.SZ,,,42809,,,,,41181,,,,
002370.SZ,,,,42627,,,,,,,,
002371.SZ,43804,,,42600,,,,41164,,,,
002372.SZ,,,,,,,,,,,,
002373.SZ,,43202,,,42354,41795,,,,,,
002374.SZ,,,,42675,,41996,,41220,,,,
002375.SZ,,,,,,41753,,,,,,
002376.SZ,,43199,,42550,,,,,,,,
002377.SZ,,,43028,,,,,,,,,
002378.SZ,,,,,,41954,,,,,,
002379.SZ,,,,,,,,41242,,,,
002380.SZ,,,,42478,,,,,,,,
002381.SZ,,,,42403,,,,,,,,
002382.SZ,,43348,,,,,,,,,,
002383.SZ,,,,42636,42131,,,,,,,
002384.SZ,,,42879,,42123,,,,,,,
002385.SZ,,,,,42310,,,,,,,
002386.SZ,,43319,,,,,,,,,,
002387.SZ,,43165,,,,,,,,,,
002388.SZ,,,42923,,,,,,,,,
002389.SZ,,,43098,,42277,41908,,41051,,,,
002390.SZ,,,,42403,,41773,,,,,,
002391.SZ,,,,,,,,,,,,
002392.SZ,,,,,,,41488,,,,,
002393.SZ,,,,,,,,,,,,
002394.SZ,,,,,,,,,,,,
002395.SZ,,,,,,,,,,,,
002396.SZ,,,42969,,42249,,,,,,,
002397.SZ,,43111,,,,,,,,,,
002398.SZ,,,,,,,,,,,,
002399.SZ,,,,,,,,,,,,
002400.SZ,,,,42634,42039,,,,,,,
002401.SZ,,,,,,,,,,,,
002402.SZ,,43208,,,,41948,,,,,,
002403.SZ,,,,42522,,,,,,,,
002404.SZ,,43164,,,,,,,,,,
002405.SZ,,,42816,,,,,,,,,
002406.SZ,,,,,,,,,,,,
002407.SZ,,43315,,,42319,,,,,,,
002408.SZ,,,,,42265,,,,,,,
002409.SZ,,43265,42738,,,,,,,,,
002410.SZ,,,,,,,,,,,,
002411.SZ,,,,42468,42367,,,,,,,
002412.SZ,,,,,,,,,,,,
002413.SZ,,,,42585,42179,,,,,,,
002414.SZ,,,,42640,,,,,,,,
002415.SZ,,,,,,,,,,,,
002416.SZ,,,,42572,,,,,,,,
002417.SZ,,,,,,,,,,,,
002418.SZ,,,,,42097,,,,,,,
002419.SZ,,,,,,,,,,,,
002420.SZ,,,,,,,,,,,,
002421.SZ,,,,,42359,41925,,,,,,
002422.SZ,,,,,,,,,,,,
002423.SZ,43516,,,,,41970,,,,,,
002424.SZ,,,,,,,,,,,,
002425.SZ,,,,42529,42117,,41507,,,,,
002426.SZ,,,,42706,42256,41836,,,,,,
002427.SZ,,,,,42198,,,,,,,
002428.SZ,,,,,,,,,,,,
002429.SZ,,,,42688,,,,,,,,
002430.SZ,,,42958,,,41733,,,,,,
002431.SZ,,,42923,,42047,,,,,,,
002432.SZ,,,,42545,,,,,,,,
002433.SZ,,,,,42363,41884,,41267,,,,
002434.SZ,,,,42726,,,,,,,,
002435.SZ,,,,42691,,,,,,,,
002436.SZ,,,,,42076,,,,,,,
002437.SZ,,,,,,,,,,,,
002438.SZ,,,42789,42383,,,,,,,,
002439.SZ,,,42753,42391,,,,41115,,,,
002440.SZ,,,,,,,,,,,,
002441.SZ,,,,42466,,,,,,,,
002442.SZ,,,,,,,,,,,,
002443.SZ,,,,,,,41386,,,,,
002444.SZ,,,,42402,,,,,,,,
002445.SZ,,,42837,42601,42026,,,,,,,
002446.SZ,,,,,42368,41885,,,,,,
002447.SZ,,,,,,41705,,,,,,
002448.SZ,,,,,,,,41206,,,,
002449.SZ,,,,,42187,,,,,,,
002450.SZ,,,,42667,42352,,,41066,,,,
002451.SZ,,,,,,,,,,,,
002452.SZ,,,,,,,,,,,,
002453.SZ,,,,,,,41439,,,,,
002454.SZ,,,,,,,,,,,,
002455.SZ,,,43038,,,,,,,,,
002456.SZ,,,,42684,,41880,41305,,,,,
002457.SZ,,,,,,,,,,,,
002458.SZ,,,,42398,,,,,,,,
002459.SZ,43796,,,,,41991,,,,,,
002460.SZ,,,,,42276,,41635,,,,,
002461.SZ,,,42802,,,,,,,,,
002462.SZ,43746,,,42429,,,,,,,,
002463.SZ,,,,,,,,,,,,
002464.SZ,,,,,,,41324,,,,,
002465.SZ,,,42916,,42241,,,,,,,
002466.SZ,,,,,,41710,,,,,,
002467.SZ,,,,,42366,,,,,,,
002468.SZ,,,,42730,,,,,,,,
002469.SZ,,,,,,,,,,,,
002470.SZ,,43397,,,,41964,,,,,,
002471.SZ,,,,,,,,41249,,,,
002472.SZ,,,,42380,,,,,,,,
002473.SZ,,,,,,,,,,,,
002474.SZ,,,,,,,,,,,,
002475.SZ,,,,42664,,41927,,,,,,
002476.SZ,,,,,,,,,,,,
002478.SZ,,,43056,,,,,,,,,
002479.SZ,,43210,,,42212,,,,,,,
002480.SZ,,,,,,41837,,,,,,
002481.SZ,,,,,42017,,,,,,,
002482.SZ,,,,,42304,,,,,,,
002483.SZ,,,,,42241,,,,,,,
002484.SZ,,,,42621,,,,,,,,
002485.SZ,,,,,,,,,,,,
002486.SZ,,,,,,,,,,,,
002487.SZ,,,,,,,,,,,,
002488.SZ,,,42849,,,41998,,,,,,
002489.SZ,,,,,,,,,,,,
002490.SZ,,,,,,,,,,,,
002491.SZ,,,42849,,,41970,,,,,,
002492.SZ,,,,,42163,,,,,,,
002493.SZ,,43298,,42391,,,,,,,,
002494.SZ,,,,42683,,41708,,,,,,
002495.SZ,,,,,,,,,,,,
002496.SZ,,,,,,,,,,,,
002497.SZ,,,,,,,,,,,,
002498.SZ,,,,,,,,41044,,,,
002499.SZ,,,,,,,,,,,,
002500.SZ,,,,42388,,,41603,,,,,
002501.SZ,,,42755,42436,,,41418,,,,,
002502.SZ,,,,,42317,,,,,,,
002503.SZ,,,,42685,,,,,,,,
002504.SZ,,,,,,41927,,,,,,
002505.SZ,,,,,,41733,,,,,,
002506.SZ,,,,,42366,,,,,,,
002507.SZ,,,,,42327,,,,,,,
002508.SZ,,,,,,,,,,,,
002509.SZ,,,,,42366,41815,,,,,,
002510.SZ,,,,,,,,,,,,
002511.SZ,,,,,,,,,,,,
002512.SZ,,,,42377,42340,,41635,,,,,
002513.SZ,,,,42425,,,,,,,,
002514.SZ,,,,,,41929,,,,,,
002515.SZ,,,,,42069,,,,,,,
002516.SZ,,,,42683,,,,,,,,
002517.SZ,,,,42676,42354,,,,,,,
002518.SZ,,,,,,,,,,,,
002519.SZ,,,,42654,,41901,,,,,,
002520.SZ,43494,,,,42355,,,,,,,
002521.SZ,,,,,,,,,,,,
002522.SZ,,,42845,,,,,,,,,
002523.SZ,,,,,42243,,,,,,,
002524.SZ,,,,,,,41388,,,,,
002526.SZ,,43199,43098,,,,,,,,,
002527.SZ,,,,42494,,41870,,,,,,
002528.SZ,,43287,,42611,42255,,,,,,,
002529.SZ,,,,42509,,,,,,,,
002530.SZ,,,,42692,,,,,,,,
002531.SZ,,,,42685,,,,,,,,
002532.SZ,,,,,,,,,,,,
002533.SZ,,,,,,,,,,,,
002534.SZ,,,,,,,,,,,,
002535.SZ,,,,,42201,,,,,,,
002536.SZ,,,,,42156,,,,,,,
002537.SZ,,,,42691,,,,,,,,
002538.SZ,,,,,42262,,,,,,,
002539.SZ,,,,,42237,,,,,,,
002540.SZ,,,43061,,,,,,,,,
002541.SZ,,,,42613,,,,,,,,
002542.SZ,,,,42731,42362,41883,,,,,,
002543.SZ,,,,,,,,,,,,
002544.SZ,,,43089,,,,,,,,,
002545.SZ,,,,42668,,,,,,,,
002546.SZ,,,,42481,,,,,,,,
002547.SZ,,,42781,,,41963,,,,,,
002548.SZ,,,,,42359,,,,,,,
002549.SZ,,,,,,,,,,,,
002550.SZ,,,,,,,,,,,,
002551.SZ,,,43089,42541,,,,,,,,
002552.SZ,,,42989,,,,,,,,,
002553.SZ,,,,,,,,,,,,
002554.SZ,,,,,42104,,,,,,,
002555.SZ,,,42930,42377,,41999,,,,,,
002556.SZ,,,,,,,,,,,,
002557.SZ,,,,,,,,,,,,
002558.SZ,,,,42513,,,,,,,,
002559.SZ,,,,,42277,,,,,,,
002560.SZ,43524,,,,,41683,,,,,,
002561.SZ,,,,,,,,,,,,
002562.SZ,,,,,42338,,,,,,,
002563.SZ,,,,,,,,,,,,
002564.SZ,,43258,,,,,41450,,,,,
002565.SZ,,43227,,,,,,,,,,
002566.SZ,,,,,,,,,,,,
002567.SZ,,,42976,,42328,,,,,,,
002568.SZ,,,,42719,42171,,,,,,,
002569.SZ,,,,,,,,,,,,
002570.SZ,,,,,,,,,,,,
002571.SZ,,,,,,,41505,,,,,
002572.SZ,,,,42579,,,,,,,,
002573.SZ,,,,,,,,,,,,
002574.SZ,,,,,,,,,,,,
002575.SZ,,,,,,,,,,,,
002576.SZ,,,,,,,,,,,,
002577.SZ,,,,,,,,,,,,
002578.SZ,,,,42667,,,,,,,,
002579.SZ,,,,42692,,,,,,,,
002580.SZ,,,,,42083,,,,,,,
002581.SZ,,,,,42270,,,,,,,
002582.SZ,,,,42654,,,,,,,,
002583.SZ,,,43084,42601,,,,,,,,
002584.SZ,,,,,42249,,,,,,,
002585.SZ,,,42839,,,41862,,,,,,
002586.SZ,,43252,42804,,,41716,,,,,,
002587.SZ,,,42782,42733,,,,,,,,
002588.SZ,,,,,,,,,,,,
002589.SZ,,,,42605,42052,,41584,,,,,
002590.SZ,,,,42424,,,,,,,,
002591.SZ,,,42906,,,,,,,,,
002592.SZ,,,,42373,,41905,,,,,,
002593.SZ,,,,,42150,,,,,,,
002594.SZ,,,,42573,,,,,,,,
002595.SZ,,,,,,,,,,,,
002596.SZ,43482,43139,,,42353,,,,,,,
002597.SZ,,,,,,,,,,,,
002598.SZ,,,,,,,,,,,,
002599.SZ,,,42783,,,,,,,,,
002600.SZ,,43140,,42543,42261,,,,,,,
002601.SZ,,,,42632,,,,,,,,
002602.SZ,43647,43132,,,,41885,,,,,,
002603.SZ,,,42814,,,,,,,,,
002604.SZ,,,,42580,,,,,,,,
002605.SZ,,,,42697,,,,,,,,
002606.SZ,,,,,,,,,,,,
002607.SZ,43494,,,42494,,,,,,,,
002608.SZ,,43256,42740,,,,,,,,,
002609.SZ,,,,42668,,,,,,,,
002610.SZ,,,,42450,,41904,,,,,,
002611.SZ,,,42849,42432,,,,,,,,
002612.SZ,43692,,,,,,,,,,,
002613.SZ,,,,,,,,,,,,
002614.SZ,,,,,,,,,,,,
002615.SZ,,,,,,,,,,,,
002616.SZ,,,,42459,42016,,,,,,,
002617.SZ,43712,,,42475,,,,,,,,
002618.SZ,,,,,,,41575,,,,,
002619.SZ,,,43024,,42081,,,,,,,
002620.SZ,,,,42566,,,,,,,,
002621.SZ,,,,,,,,,,,,
002622.SZ,,,,,,,,,,,,
002623.SZ,,,,,,,,,,,,
002624.SZ,,,,42536,,41991,,,,,,
002625.SZ,,,42776,,,,,,,,,
002626.SZ,,,,42657,,,,,,,,
002627.SZ,43718,,43027,,,,,,,,,
002628.SZ,,,,,,,41479,,,,,
002629.SZ,,,,,,,,,,,,
002630.SZ,,,,,,41712,,,,,,
002631.SZ,,,,,,,,,,,,
002632.SZ,,43123,42979,,42179,,,,,,,
002633.SZ,,,,,,,,,,,,
002634.SZ,,,,,,,,,,,,
002635.SZ,,,42989,,42194,,,,,,,
002636.SZ,,,,,,,,,,,,
002637.SZ,,,,42590,,,,,,,,
002638.SZ,,,,42705,,,,,,,,
002639.SZ,,,,42565,42184,,,,,,,
002640.SZ,,43215,,42627,,41953,,,,,,
002641.SZ,,,,,,,,,,,,
002642.SZ,,,43091,,42346,41956,41604,,,,,
002643.SZ,,,,42599,42075,,,,,,,
002644.SZ,,,,,42102,,,,,,,
002645.SZ,,,,,42346,,,,,,,
002646.SZ,,,,,,,,,,,,
002647.SZ,,,,,,,,,,,,
002648.SZ,,,42954,,,,,,,,,
002649.SZ,,,,,,41642,,,,,,
002650.SZ,,,,,,,,,,,,
002651.SZ,,,,,,,,,,,,
002652.SZ,,,,,,,,,,,,
002653.SZ,,,,,,,,,,,,
002654.SZ,,43125,42775,42495,42160,,,,,,,
002655.SZ,,,,,,,,,,,,
002656.SZ,,,42979,42583,,,,,,,,
002657.SZ,,,,42436,,41989,,,,,,
002658.SZ,,,,,,,,,,,,
002659.SZ,,,,42570,,,,,,,,
002660.SZ,,,,,42095,,,,,,,
002661.SZ,,,,42387,,,,,,,,
002662.SZ,,,,,,41955,,,,,,
002663.SZ,,,42873,,42307,41977,,,,,,
002664.SZ,,,,,,,,,,,,
002665.SZ,,,43005,,42149,,,,,,,
002666.SZ,,,,,42082,,,,,,,
002667.SZ,,,,,,,,,,,,
002668.SZ,,,42790,,,,,,,,,
002669.SZ,43538,43207,,42709,,,,,,,,
002670.SZ,,,,42508,,,,,,,,
002671.SZ,,,,42515,,41647,,,,,,
002672.SZ,,,,,,,,,,,,
002673.SZ,,,,,42087,,,,,,,
002674.SZ,,,,42599,,,,,,,,
002675.SZ,,43404,,42703,42296,,,,,,,
002676.SZ,,,,,,,,,,,,
002677.SZ,,,,,,,,,,,,
002678.SZ,,,42968,,,,,,,,,
002679.SZ,,,,,,,,,,,,
002681.SZ,,,43026,,42069,,,,,,,
002682.SZ,,,42822,,,,,,,,,
002683.SZ,,,,42541,,41899,,,,,,
002684.SZ,,,42814,42425,42121,,,,,,,
002685.SZ,,,43068,42440,,,,,,,,
002686.SZ,,,42790,,,,,,,,,
002687.SZ,,,,,,,,,,,,
002688.SZ,,,,42403,,,,,,,,
002689.SZ,,,,,,,,,,,,
002690.SZ,,,,,,,,,,,,
002691.SZ,,,,,,,,,,,,
002692.SZ,,,,,,,,,,,,
002693.SZ,,,,,,,,,,,,
002694.SZ,,,,,,,,,,,,
002695.SZ,,,,,,,,,,,,
002696.SZ,,,43004,,,,,,,,,
002697.SZ,,,,,,,,,,,,
002698.SZ,,,,,,,,,,,,
002699.SZ,,,,42664,42193,,,,,,,
002700.SZ,,,,,,,,,,,,
002701.SZ,,,,,,,,,,,,
002702.SZ,,,,,,,,,,,,
002703.SZ,,,,,,41998,,,,,,
002705.SZ,,,42824,,,,,,,,,
002706.SZ,,,,42466,,,,,,,,
002707.SZ,43480,,,,42095,,,,,,,
002708.SZ,,,,42510,,,,,,,,
002709.SZ,,,42947,,42318,,,,,,,
002711.SZ,,,,,,,,,,,,
002712.SZ,,43109,42810,42487,,,,,,,,
002713.SZ,,43104,,,,,,,,,,
002714.SZ,43707,,42846,,42368,,,,,,,
002715.SZ,,,,,,,,,,,,
002716.SZ,,,42851,,,,,,,,,
002717.SZ,,43104,,42727,,,,,,,,
002718.SZ,,,,42572,,,,,,,,
002719.SZ,,,,,42097,,,,,,,
002721.SZ,,,43089,,42093,,,,,,,
002722.SZ,,,,42465,42369,,,,,,,
002723.SZ,,,,,,,,,,,,
002724.SZ,,,,,,,,,,,,
002725.SZ,,,,,,,,,,,,
002726.SZ,,,,,,,,,,,,
002727.SZ,,,43096,,,,,,,,,
002728.SZ,,,,,,,,,,,,
002729.SZ,,,,,,,,,,,,
002730.SZ,,,,,,,,,,,,
002731.SZ,,,,,,,,,,,,
002732.SZ,,,,,,,,,,,,
002733.SZ,,,,42607,,,,,,,,
002734.SZ,,,,42668,,,,,,,,
002735.SZ,,,,,,,,,,,,
002736.SZ,,,,,,,,,,,,
002737.SZ,,,,,,,,,,,,
002738.SZ,43593,43355,,,,,,,,,,
002739.SZ,43609,,,,42369,,,,,,,
002740.SZ,43559,,,42734,,,,,,,,
002741.SZ,,,42923,,,,,,,,,
002742.SZ,,,,,,,,,,,,
002743.SZ,,,,42600,,,,,,,,
002745.SZ,,43335,,42516,,,,,,,,
002746.SZ,,,,42634,,,,,,,,
002747.SZ,,,,42620,,,,,,,,
002748.SZ,,,,,,,,,,,,
002749.SZ,,,,,,,,,,,,
002750.SZ,,,,,,,,,,,,
002751.SZ,,43181,,,,,,,,,,
002752.SZ,,,42838,,,,,,,,,
002753.SZ,43769,,,,,,,,,,,
002755.SZ,43483,,,,,,,,,,,
002756.SZ,,,,,,,,,,,,
002757.SZ,,43273,,,,,,,,,,
002758.SZ,,,,,,,,,,,,
002759.SZ,,,,42724,,,,,,,,
002760.SZ,,,,,,,,,,,,
002761.SZ,,,,,,,,,,,,
002762.SZ,,,,,,,,,,,,
002763.SZ,,,,,,,,,,,,
002765.SZ,43621,,,,,,,,,,,
002766.SZ,,,42839,,,,,,,,,
002767.SZ,,,,,,,,,,,,
002768.SZ,,43173,,,,,,,,,,
002769.SZ,,,,,,,,,,,,
002770.SZ,,,,42731,,,,,,,,
002771.SZ,,,,,,,,,,,,
002772.SZ,,,,42601,,,,,,,,
002773.SZ,,,,,,,,,,,,
002774.SZ,,,,,,,,,,,,
002775.SZ,,,,,,,,,,,,
002776.SZ,,,,42692,,,,,,,,
002777.SZ,,43140,,,,,,,,,,
002778.SZ,,,,,,,,,,,,
002779.SZ,,,,,,,,,,,,
002780.SZ,,,43089,,,,,,,,,
002781.SZ,,,,,,,,,,,,
002782.SZ,,,,,,,,,,,,
002783.SZ,,,,,,,,,,,,
002785.SZ,,,,,,,,,,,,
002786.SZ,,,,,,,,,,,,
002787.SZ,43488,43306,,,,,,,,,,
002788.SZ,,,,,,,,,,,,
002789.SZ,,,,,,,,,,,,
002790.SZ,,,,,,,,,,,,
002791.SZ,,,,,,,,,,,,
002792.SZ,,,,,,,,,,,,
002793.SZ,,,,,,,,,,,,
002795.SZ,,,,,,,,,,,,
002796.SZ,,43392,,,,,,,,,,
002797.SZ,,,,,,,,,,,,
002798.SZ,,43119,,,,,,,,,,
002799.SZ,,,,,,,,,,,,
002800.SZ,,,,,,,,,,,,
002801.SZ,,,,,,,,,,,,
002802.SZ,,,,,,,,,,,,
002803.SZ,43600,,,,,,,,,,,
002805.SZ,,,,,,,,,,,,
002806.SZ,,43370,,,,,,,,,,
002807.SZ,,,,,,,,,,,,
002808.SZ,,,,,,,,,,,,
002809.SZ,,,,,,,,,,,,
002810.SZ,,,,,,,,,,,,
002811.SZ,,,,,,,,,,,,
002812.SZ,,43326,,,,,,,,,,
002813.SZ,,,,,,,,,,,,
002815.SZ,,,,,,,,,,,,
002816.SZ,,,,,,,,,,,,
002817.SZ,,,,,,,,,,,,
002818.SZ,,,,,,,,,,,,
002819.SZ,43479,,,,,,,,,,,
002820.SZ,,,,,,,,,,,,
002821.SZ,,,,,,,,,,,,
002822.SZ,,,,,,,,,,,,
002823.SZ,,,,,,,,,,,,
002824.SZ,,,,,,,,,,,,
002825.SZ,43700,,,,,,,,,,,
002826.SZ,,,,,,,,,,,,
002827.SZ,,,,,,,,,,,,
002828.SZ,,,,,,,,,,,,
002829.SZ,,,,,,,,,,,,
002830.SZ,,,,,,,,,,,,
002831.SZ,,,,,,,,,,,,
002832.SZ,,,,,,,,,,,,
002833.SZ,,,,,,,,,,,,
002835.SZ,,,,,,,,,,,,
002836.SZ,,,,,,,,,,,,
002837.SZ,,43258,,,,,,,,,,
002838.SZ,,,,,,,,,,,,
002839.SZ,,,,,,,,,,,,
002840.SZ,,,,,,,,,,,,
002841.SZ,,,,,,,,,,,,
002842.SZ,,,,,,,,,,,,
002843.SZ,,,,,,,,,,,,
002845.SZ,,,,,,,,,,,,
002846.SZ,,,,,,,,,,,,
002847.SZ,,,,,,,,,,,,
002848.SZ,,,,,,,,,,,,
