stockid,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
000561.SZ,,,,,,,,,,40423,,
000563.SZ,,,,,42355,,,41023,,,,
000564.SZ,,,,42639,42241,,,41172,,40200,,
000565.SZ,,,,,,,,,,,,
000566.SZ,,,,42621,42068,,,,40785,,,
000567.SZ,,43202,,,,,,,,,,
000568.SZ,,,42991,,,,,,,,,
000570.SZ,,,,,,,,,,,,
000571.SZ,,,,,,41802,,,,,,
000572.SZ,,,,,,,,,,40472,,
000573.SZ,,,,,,,,,,,,
000576.SZ,,,,,,,41402,,,,,
000581.SZ,,,,,,,,40967,,,,
000582.SZ,,43460,,,42184,,41633,,,,,
000584.SZ,,,,,,,,,,,,39500
000585.SZ,,,,,,,,,,,,
000586.SZ,,,,,,,,,,,,
000587.SZ,,,,,42334,,,,,,,
000589.SZ,,,,,,41738,,,,,,
000590.SZ,,,42879,,,,,,,,,
000591.SZ,,,,42545,,,,,,,,
000592.SZ,,,,,42355,,,,,40520,,39472
000593.SZ,,,,42528,,41648,,,,,,
000595.SZ,,,,,42069,,41459,,,,,
000596.SZ,,,,,,,,,40757,,,
000597.SZ,,43229,,,,41838,,,,,,39787
000598.SZ,,,,,,,,,40651,40302,,
000599.SZ,,43139,,,,41960,,,,,,39597
000600.SZ,,,,,,41858,,,,,,
000601.SZ,,,,,,,41360,,,,,
000603.SZ,,,,42578,,,,,40855,,,
000605.SZ,,,42773,,,41831,,,,,,
000606.SZ,,,,42578,,,,41270,,,39878,
000607.SZ,,,,,,41991,,,,,,
000608.SZ,,,,,,,,,,,,
000609.SZ,,,,,,,,,,,,
000610.SZ,,,,,42060,,,,,,,
000611.SZ,,,,,,,,,,,,
000612.SZ,,,,,,,41396,,,,,
000613.SZ,,,,,,,,,,,,
000615.SZ,,,,,42305,,,,,,,
000616.SZ,,,,,,,,,,,,
000617.SZ,,,42748,,,,,,,,,
000619.SZ,,,,,,,,,,,,
000620.SZ,,,,,42095,,,,40701,,,
000622.SZ,,,,,,,,,,,,
000623.SZ,,,,,,,,,,,,
000625.SZ,,,,42656,,,,,40550,,,
000626.SZ,,,,42545,,,,,,,,
000627.SZ,,,43040,42405,,,,,,,,39464
000628.SZ,,,,,42122,,,,,,,
000629.SZ,,,,,,,,,,,40029,
000630.SZ,,,42752,,,41927,,,,,,
000631.SZ,,,,42524,,,,,,,39919,
000632.SZ,,,,,,,,,,,,
000633.SZ,,,,,,,,,,,,
000635.SZ,,,,,,,,41018,,,,
000636.SZ,,,,,42366,41997,,,,,,
000637.SZ,,,,,,,,,,,,
000638.SZ,,,,,,,,,,,,
000639.SZ,,43143,,42404,,,,,40564,,,
000650.SZ,,,,,,,,41101,,,40015,
