stockid,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
000553.SZ,,1.0,1.0,,,,,,,,,
000554.SZ,,,,,,,,,,,,
000555.SZ,,,,1.0,1.0,1.0,1.0,,,,,
000557.SZ,,,,1.0,,,,,,,,
000558.SZ,,,,,,1.0,,,,,,
000559.SZ,,,,,,,,,,1.0,,
000560.SZ,,1.0,1.0,,1.0,,,,1.0,,,
000561.SZ,,,,,,,,,,1.0,,
000563.SZ,,,,,1.0,,,1.0,,,,
000564.SZ,,,,1.0,1.0,,,1.0,,1.0,,
000565.SZ,,,,,,,,,,,,
000566.SZ,,,,1.0,1.0,,,,1.0,,,
000567.SZ,,1.0,,,,,,,,,,
000568.SZ,,,1.0,,,,,,,,,
000570.SZ,,,,,,,,,,,,
000571.SZ,,,,,,1.0,,,,,,
000572.SZ,,,,,,,,,,1.0,,
000573.SZ,,,,,,,,,,,,
000576.SZ,,,,,,,1.0,,,,,
000581.SZ,,,,,,,,1.0,,,,
000582.SZ,,1.0,,,1.0,,1.0,,,,,
000584.SZ,,,,,,,,,,,,1.0
000585.SZ,,,,,,,,,,,,
000586.SZ,,,,,,,,,,,,
000587.SZ,,,,,1.0,,,,,,,
000589.SZ,,,,,,1.0,,,,,,
000590.SZ,,,1.0,,,,,,,,,
000591.SZ,,,,1.0,,,,,,,,
000592.SZ,,,,,1.0,,,,,1.0,,1.0
000593.SZ,,,,1.0,,1.0,,,,,,
000595.SZ,,,,,1.0,,1.0,,,,,
000596.SZ,,,,,,,,,1.0,,,
000597.SZ,,1.0,,,,1.0,,,,,,1.0
000598.SZ,,,,,,,,,1.0,1.0,,
000599.SZ,,1.0,,,,1.0,,,,,,1.0
000600.SZ,,,,,,1.0,,,,,,
000601.SZ,,,,,,,1.0,,,,,
000603.SZ,,,,1.0,,,,,1.0,,,
000605.SZ,,,1.0,,,1.0,,,,,,
000606.SZ,,,,1.0,,,,1.0,,,1.0,
000607.SZ,,,,,,1.0,,,,,,
000608.SZ,,,,,,,,,,,,
000609.SZ,,,,,,,,,,,,
000610.SZ,,,,,1.0,,,,,,,
000611.SZ,,,,,,,,,,,,
000612.SZ,,,,,,,1.0,,,,,
000613.SZ,,,,,,,,,,,,
000615.SZ,,,,,1.0,,,,,,,
000616.SZ,,,,,,,,,,,,
000617.SZ,,,1.0,,,,,,,,,
000619.SZ,,,,,,,,,,,,
000620.SZ,,,,,1.0,,,,1.0,,,
000622.SZ,,,,,,,,,,,,
000623.SZ,,,,,,,,,,,,
000625.SZ,,,,1.0,,,,,1.0,,,
000626.SZ,,,,1.0,,,,,,,,
000627.SZ,,,1.0,1.0,,,,,,,,1.0
000628.SZ,,,,,1.0,,,,,,,
000629.SZ,,,,,,,,,,,1.0,
000630.SZ,,,1.0,,,1.0,,,,,,
000631.SZ,,,,1.0,,,,,,,1.0,
000632.SZ,,,,,,,,,,,,
000633.SZ,,,,,,,,,,,,
000635.SZ,,,,,,,,1.0,,,,
000636.SZ,,,,,1.0,1.0,,,,,,
000637.SZ,,,,,,,,,,,,
000638.SZ,,,,,,,,,,,,
000639.SZ,,1.0,,1.0,,,,,1.0,,,
000650.SZ,,,,,,,,1.0,,,1.0,
000651.SZ,,,,,,,,1.0,,,,
000652.SZ,,,,,,,,,,,,
000655.SZ,,,,,,,,,,,1.0,
000656.SZ,,,,1.0,,1.0,,,1.0,,,
000657.SZ,,,,,,1.0,1.0,,,,,
000659.SZ,,,,,,,,,,1.0,,
000661.SZ,1.0,,,,,,,,,,,
000662.SZ,,,,1.0,,,,,,,,
000663.SZ,,,,,1.0,,,,,,,
000665.SZ,,,,,1.0,1.0,,1.0,,,,
000666.SZ,,,,,,,,1.0,,,,
000667.SZ,,,,,,,,,,,,1.0
000668.SZ,,,,,,,,,,,,
000669.SZ,,,,,1.0,,,1.0,,,,
000670.SZ,,,,,,,,,,,,
000671.SZ,,,,,1.0,1.0,,,,,,1.0
000672.SZ,,,,,,,1.0,,,,,
000673.SZ,,,,,1.0,,,,,,,
000676.SZ,,,,1.0,,,,,,,,
000677.SZ,,,,,,,,,,,,
000678.SZ,,,,1.0,,,1.0,,,,,
000679.SZ,,,,,,,,,,,,
000680.SZ,,,,,,,1.0,,,,,
000681.SZ,,,,,1.0,1.0,,,,,,
000682.SZ,,1.0,,,,,,,,,,
000683.SZ,,,,1.0,1.0,1.0,,,,,,1.0
000685.SZ,,,,,1.0,,,,,,,1.0
000686.SZ,,,,,,,,1.0,,,,
000687.SZ,,,,,,,,1.0,,,,
000688.SZ,,,,,,,1.0,,,,,
000690.SZ,,,,1.0,,,,,,,,
000691.SZ,,,,,,,,,,,,
000692.SZ,,,,,,,,,,,,
000695.SZ,,,,,,,,,,,,
000697.SZ,,1.0,,,,1.0,,1.0,,,,
000698.SZ,,,,,1.0,,,,,,,1.0
000700.SZ,,1.0,,,1.0,,,,,,,
000701.SZ,,,,1.0,,1.0,,,,,,
000702.SZ,,,,,,,,,,,,
000703.SZ,1.0,1.0,,1.0,1.0,,,,1.0,,,
000705.SZ,,,,,,,,1.0,,,,
000707.SZ,,,,,,,,,,,,
000708.SZ,1.0,,,,,,,,,,,
000709.SZ,,,,,,,,,1.0,,,
000710.SZ,,,1.0,,,,,,,,,
000711.SZ,1.0,,1.0,1.0,,,,,,,,
000712.SZ,,,,,,,,1.0,,,,
000713.SZ,1.0,,,,,,,,,1.0,,
000715.SZ,,,,,,,,,,,,
000716.SZ,,1.0,,,,1.0,1.0,,,,,
000717.SZ,,,,,,,1.0,,,,,
000718.SZ,,,,,1.0,,,,,,,1.0
000719.SZ,,,,,,1.0,,,1.0,,,
000720.SZ,,,1.0,,,,,,,,,
000721.SZ,,,,,,,1.0,,,,,
000722.SZ,,,,,,,,1.0,,,,
000723.SZ,,,,1.0,1.0,,,,,,,
000725.SZ,,,,,,1.0,,,,1.0,1.0,1.0
000726.SZ,,,,,,,,,,,,1.0
000727.SZ,,,,,1.0,,,,,,,
000728.SZ,,,1.0,,,,,,,,1.0,
000729.SZ,,,,,,,1.0,,,,,1.0
000731.SZ,,,,,,,,,,,,
000732.SZ,,,,,1.0,,,,,1.0,,
000733.SZ,,1.0,,,,1.0,,,,,,
000735.SZ,,,,1.0,,,,,,,,
000736.SZ,,,,,,,,,,,,1.0
000737.SZ,,,,,,,,,,,,
000738.SZ,,,,,,,1.0,,,1.0,,
000739.SZ,,,1.0,,,1.0,1.0,,,,,
000750.SZ,,,,,1.0,,,,1.0,,,
000751.SZ,,,,,,,,,,,,
000752.SZ,,,,,,,,,,,,
000753.SZ,,,1.0,,,1.0,,,,,,
000755.SZ,,,,,,,,,,,,
000756.SZ,,,1.0,,,,,,,,,
000757.SZ,1.0,,,,,1.0,,,,,,
000758.SZ,,,,,,,,,,,,
000759.SZ,,,,,,,,,,,,
000760.SZ,,,,,,,1.0,,,,,
000761.SZ,,1.0,,,,,,,,,,
000762.SZ,,,,1.0,,,,,1.0,,,
000766.SZ,,,,1.0,1.0,,,,,,,
000767.SZ,,,1.0,,,,1.0,,,,,
000768.SZ,,,,,1.0,,,1.0,,,,1.0
000776.SZ,,,,,,,,,1.0,1.0,,
000777.SZ,,,,,,,,,,1.0,,
000778.SZ,,,1.0,,,,1.0,,,,1.0,
000779.SZ,1.0,,,,,,,,,,,
000780.SZ,,,,,,,,,,,,
000782.SZ,,,,,,1.0,,,,,,
000783.SZ,,,,1.0,,,,,1.0,,,
000785.SZ,1.0,,,,,,,,,,,
000786.SZ,,,,1.0,,1.0,,,,,,
000788.SZ,,,,,,,,,1.0,,1.0,
000789.SZ,,,,,,,,1.0,,,,
000790.SZ,,,,,,,,,,,,
000791.SZ,,,,1.0,,,,1.0,,,,
000792.SZ,,,,,1.0,,,,,,,
000793.SZ,,,,,1.0,1.0,1.0,,,,,
000795.SZ,,,,1.0,1.0,1.0,,,,,,
000796.SZ,,,,,1.0,,,,,,,
000797.SZ,,,,,,,,,,,,
000798.SZ,,,,,,,,,,,,
000799.SZ,,,,,,,,,1.0,,,
000800.SZ,,,,,,,,,,,,
000801.SZ,,,,,1.0,,,1.0,,1.0,,
000802.SZ,,,,1.0,,,,,1.0,,,
000803.SZ,,,,,,,,,,,,
000806.SZ,,,,,1.0,,,,,,,
