,0,1,2,3,4,5,6,7,8
20141231,1.031514095677262,1.0852796348022444,1.1011410026597361,1.0453423144159832,1.078906590342814,1.1060342200647395,1.0408060011984384,1.0934361725777204,1.1215991670696512
20150130,1.0934028066518,1.1638148033664637,1.1979252884424145,1.0958262442200346,1.1568200905747867,1.2068932033710675,1.093839284430839,1.1887693219411044,1.2428106912918124
20150227,1.316833962295666,1.4265798973775181,1.4481646849583203,1.3370408286985511,1.4258582206092565,1.4976336964360575,1.3304720975742979,1.4988325896224408,1.5454853156165587
20150331,1.5295229012971887,1.6562158978972292,1.6680788462755913,1.579881613456801,1.6601959341811978,1.7156137410755488,1.6316297072104908,1.7366306634745852,1.795678464680603
20150430,1.7368245041867896,2.0218649498084256,2.1074938032990573,1.834694614968219,2.0741715261416833,2.2640324466984674,1.919636378256816,2.2708836709009597,2.4329438471297653
20150529,1.6653540265265105,1.813270058746832,1.7914838403153972,1.7986436524249385,1.8992553973186668,1.8556986493481882,1.8648539359086291,1.957152311967589,1.9663866555247183
20150630,1.3465022640655069,1.484361757727747,1.474684781061918,1.44361184827079,1.5361806761624504,1.5150696275436204,1.4859516484795547,1.5801268715078212,1.577895718780082
20150731,1.1893853226599342,1.310923410271619,1.227917221017495,1.297826835973655,1.332270952231173,1.2524353879834857,1.3150805816935514,1.3613005587230016,1.289627062692846
20150831,1.125848651068286,1.2659249160721244,1.196377165126689,1.227110332256057,1.2914243134804064,1.2434550008161773,1.2678290762025763,1.3475833965220019,1.2988788744847035
20150930,1.3382295379129687,1.5676835223133583,1.504298717708592,1.481388222035411,1.599830232332063,1.5790894675514235,1.520841710289123,1.6978936488775533,1.6573254486445221
20151030,1.4111537001017622,1.6908356362170136,1.6529987132875121,1.5881729556974964,1.8049725970905122,1.8423594393538718,1.6658385489254732,1.9730586108950179,1.9529192707940626
20151130,1.5213183527196201,1.8329718259829029,1.7141865045500393,1.7099114790663115,1.9239084912172109,1.9371134587052619,1.7953166845706308,2.172531704932801,2.054449071915834
20151231,1.117514778541713,1.2845936309377102,1.1961353618135824,1.2312308398935352,1.311778436025616,1.316041703320572,1.278999889953594,1.49126516630464,1.4032052295892252
20160129,1.1149121052723034,1.2641357486156406,1.151787425925571,1.2284680304205724,1.2876251493213393,1.2785341018074745,1.282705239954738,1.4567483149375902,1.3619397969334714
20160229,1.292668028365058,1.4943005403301224,1.3946777080977573,1.4252008099235804,1.5468384919414198,1.55827028511385,1.509638477541729,1.7526728525408393,1.6460174049249114
20160331,1.285117391419071,1.494964723543701,1.3480059106449818,1.4225886617058687,1.5309443921858352,1.5391017236433577,1.5033236110896653,1.7800398055252817,1.6418709898377764
20160429,1.266733973084356,1.4905707246078592,1.3374652447621262,1.3926848870868458,1.5302461185871483,1.518162914162886,1.467447987640559,1.7587089422268785,1.611510958110877
20160531,1.3162509288627304,1.5941487990896812,1.4305531923300543,1.431470864163815,1.636095271520071,1.6012914737591082,1.5235601216880263,1.8741838094134264,1.7400968877635854
20160630,1.3662412264845052,1.6114311750537396,1.369017561967689,1.4778172665945852,1.6296187698720792,1.5470196932127656,1.5434876009059544,1.862261092535972,1.6454545121902369
20160729,1.4358022580669294,1.671361128544664,1.4217214172458028,1.5661798826139548,1.7030643505348326,1.6201427227450762,1.6314375038671123,1.9730657175305994,1.740103514341385
20160831,1.4302656443306272,1.6484567691738938,1.396787167264791,1.5652519621684393,1.6890263351626429,1.5920782464539045,1.6270917915171836,1.9734636698913586,1.7220283991639318
20160930,1.4774713329780627,1.697104141232816,1.4410092312941911,1.6114328190697729,1.7582071794706096,1.6661214758714828,1.6897025782369213,2.0569289237701813,1.7941290474589864
20161031,1.5486862218079938,1.7292172338042453,1.4705143947118435,1.6691013806171022,1.7921084199196955,1.7066726340697258,1.7603233302907024,2.1047953218216855,1.8436736505906541
20161130,1.4879701679506354,1.6332177290429322,1.3643430207581604,1.6115028499740431,1.7045198501048893,1.6035162708277502,1.7189242053781928,2.003854472113183,1.7395406809125293
20161230,1.507836217560755,1.6031705293115088,1.3014036542806697,1.608354845472532,1.6524425552553041,1.5299116128303079,1.7125448287060916,1.9151381353147865,1.636782746384595
20170126,1.5773945466890504,1.6736204753535115,1.3506877402943052,1.681890577150813,1.716856228767117,1.5845205854610382,1.78801487142665,1.999556517797698,1.710874007503783
20170228,1.5548976319434433,1.6533207153190865,1.3390943497799028,1.65482691633924,1.6837245272086625,1.535080730638055,1.751084669360955,1.9451254739882675,1.6664347227194138
20170331,1.486458593020109,1.5734306878471938,1.2607507897755474,1.6048191860844714,1.591958137755024,1.412972257963412,1.6671317473517329,1.811595373227003,1.5045498536053281
20170428,1.395323221323121,1.4702387930985625,1.1585965665160183,1.486511773429006,1.480154648183136,1.2903757257050197,1.5753557507574598,1.6737712314902764,1.3685944302142101
20170531,1.4798951296639435,1.5626914751497523,1.2125403499986103,1.5530003911683046,1.540170530709709,1.3403435415821332,1.6222325695113926,1.7238121214092175,1.4108317094653346
20170630,1.5544646599192826,1.5586886319054576,1.1685967521248428,1.6140863448500948,1.531147111659015,1.282562273311699,1.656188558290962,1.7030833948186148,1.3561538095535355
